batch_id,temperature,pressure,flow_rate,mixing_speed,material_purity,viscosity,humidity,cycle_time,quality_score
B104,192.5,58.64,100.29,1313.17,91.96,65.26,41.93,32.28,76.31
B105,199.73,60.41,85.4,1165.12,89.77,58.98,48.83,37.48,74.5
B106,184.59,56.33,91.35,1181.55,91.49,64.15,46.06,34.91,76.88
B107,158.45,39.58,86.03,1091.69,92.6,75.78,46.87,39.55,73.56
B108,177.07,51.28,88.07,1186.24,89.52,64.28,44.24,34.25,73.72
B109,165.9,47.04,108.84,1259.42,94.31,76.25,40.18,34.88,83.0
B110,171.96,44.77,83.25,1046.49,93.69,74.0,50.37,41.17,72.73
B111,202.9,62.31,101.46,1271.46,92.89,64.43,42.96,35.1,80.26
B112,191.08,57.8,96.79,1218.75,95.09,67.07,44.37,35.5,80.45
B113,170.34,49.0,90.37,1111.69,93.52,71.7,46.14,38.26,76.53
B114,166.2,44.82,85.72,1011.8,98.78,80.95,50.1,42.55,77.92
B115,180.63,52.21,88.77,1212.05,91.48,65.82,43.94,35.05,77.62
B116,164.22,44.57,86.7,1120.26,89.51,69.2,47.11,36.25,75.13
B117,170.46,49.74,90.83,1195.36,89.71,68.35,44.82,32.84,74.38
B118,184.6,53.91,87.49,1150.65,86.8,64.15,42.48,33.51,72.23
B119,198.79,62.04,102.34,1348.1,88.32,58.72,35.62,30.19,79.63
B120,183.98,55.81,94.62,1216.09,89.0,58.38,47.54,33.94,74.63
B121,149.33,37.08,86.56,1037.31,93.9,79.04,47.74,38.08,72.84
B122,184.03,53.19,100.33,1230.96,92.18,70.43,40.34,36.07,79.96
B123,185.12,52.38,97.89,1193.79,92.09,67.25,42.01,35.38,78.42
B124,190.83,58.03,106.3,1361.45,90.94,62.46,41.04,29.9,80.97
B125,201.92,62.73,101.23,1312.68,96.22,62.22,40.82,32.29,81.45
B126,156.81,41.85,100.64,1186.34,93.96,81.38,41.94,35.67,78.02
B127,177.39,52.77,108.21,1363.44,91.64,68.27,41.84,28.86,80.76
B128,183.12,52.18,82.74,1138.11,89.72,62.38,45.92,38.39,74.92
B129,156.94,42.8,92.38,1096.75,94.17,75.52,44.61,37.86,73.23
B130,194.63,58.53,89.38,1141.64,92.03,63.11,47.35,38.71,74.4
B131,181.76,51.69,87.61,1167.62,86.85,60.64,45.95,32.91,69.6
B132,183.53,55.36,81.04,1107.46,90.32,62.68,49.3,37.5,71.88
B133,176.08,49.66,97.64,1240.79,93.04,70.17,43.61,33.88,79.25
B134,189.88,54.0,91.64,1192.44,89.26,56.61,45.07,34.07,70.67
B135,184.84,53.39,84.43,1123.68,92.46,63.74,49.59,39.05,73.01
B136,179.5,49.82,81.98,1112.14,85.45,58.81,46.78,35.44,69.59
B137,185.74,54.04,100.25,1280.07,97.57,71.3,43.11,38.61,79.5
B138,187.88,55.0,105.63,1284.0,96.7,73.7,41.51,35.44,85.17
B139,177.68,51.24,112.01,1393.83,90.46,69.95,38.0,29.82,84.6
B140,187.05,58.34,122.92,1465.71,93.02,68.87,36.07,28.13,90.15
B141,177.72,52.48,96.69,1252.74,82.21,55.8,43.67,30.93,72.49
B142,179.46,52.31,82.27,1106.03,87.03,62.1,47.25,35.65,71.01
B143,186.29,53.3,81.57,1016.04,90.49,62.94,49.37,38.83,71.26
B144,168.86,47.51,93.67,1206.82,89.35,67.21,43.27,32.28,77.26
B145,178.64,46.99,92.54,1143.48,93.92,73.06,46.55,39.14,78.89
B146,198.73,58.8,95.84,1200.46,99.57,69.58,45.68,38.78,79.2
B147,168.98,43.95,86.72,1100.59,87.4,65.51,49.93,34.57,71.57
B148,167.22,47.21,87.68,1139.57,89.29,67.73,43.51,33.42,75.01
B149,184.99,55.45,103.57,1272.45,92.7,67.56,41.35,33.62,78.99
B150,191.04,58.24,95.58,1199.89,98.42,72.91,45.42,37.9,82.66
B151,179.26,53.14,93.7,1188.2,87.24,60.67,44.68,33.89,77.32
B152,191.68,57.27,91.0,1162.52,91.46,64.03,51.52,38.82,74.01
B153,185.76,52.43,83.25,1070.43,97.13,74.08,48.68,42.76,78.86
B154,187.64,56.14,88.56,1132.07,85.74,51.58,46.14,33.71,70.89
B155,185.23,54.3,90.19,1205.2,86.39,60.89,42.73,32.02,73.4
B156,213.86,68.69,106.73,1414.05,90.89,50.84,37.71,27.58,80.35
B157,177.12,52.34,96.94,1248.52,89.76,65.4,44.03,33.87,75.34
B158,159.39,42.47,104.39,1209.22,96.98,82.62,42.38,33.89,79.78
B159,198.3,60.69,95.84,1187.36,91.28,61.51,46.17,37.78,76.72
B160,168.67,47.69,80.76,1116.03,85.97,58.99,50.06,36.56,70.47
B161,177.44,49.32,90.81,1124.84,92.79,68.45,46.92,39.83,74.61
B162,196.41,58.78,88.29,1178.73,89.53,60.76,45.72,35.25,73.93
B163,164.83,48.71,116.57,1353.8,96.59,78.7,42.06,30.93,85.77
B164,158.28,43.43,86.06,1101.38,87.71,72.19,47.34,36.62,72.15
B165,159.58,44.12,100.31,1250.98,89.98,71.94,40.02,33.6,77.83
B166,167.82,44.61,88.57,1082.69,95.61,72.49,45.64,39.63,77.65
B167,188.13,55.82,101.89,1312.39,94.26,68.96,39.32,34.58,82.85
B168,187.21,56.38,100.63,1220.29,93.8,66.36,44.45,34.37,81.82
B169,185.27,52.03,92.0,1199.38,87.02,59.63,43.85,31.87,73.11
B170,157.58,44.67,97.23,1164.59,93.74,78.15,44.36,36.66,78.58
B171,151.11,36.36,91.54,1070.99,87.86,70.65,45.98,34.19,68.89
B172,185.11,53.04,102.66,1241.05,90.78,68.33,43.89,33.96,82.73
B173,170.72,48.54,87.58,1134.81,87.59,61.71,43.93,33.76,72.95
B174,181.08,54.76,87.02,1079.75,93.46,70.1,45.99,40.46,76.09
B175,183.08,51.4,81.6,1095.46,88.27,58.78,48.49,36.92,68.18
B176,180.39,54.91,93.87,1196.91,87.62,63.37,44.53,30.38,73.41
B177,193.21,59.83,107.56,1367.58,93.97,68.1,39.55,32.2,85.83
B178,186.09,54.11,100.81,1197.13,92.37,66.43,42.03,34.4,79.44
B179,189.68,54.8,93.73,1216.81,90.4,61.53,45.6,34.32,72.33
B180,171.73,49.29,99.64,1184.48,95.87,77.22,41.75,36.6,83.67
B181,185.57,53.7,107.55,1301.72,91.4,64.69,38.88,30.38,80.16
B182,183.09,55.31,91.39,1212.17,90.85,67.42,41.6,35.07,80.65
B183,192.12,55.06,87.22,1210.03,92.34,63.81,47.66,35.38,75.95
B184,178.41,53.63,104.6,1296.33,91.56,63.4,41.6,30.44,79.78
B185,187.8,55.04,99.52,1247.38,94.66,67.44,43.72,35.15,81.89
B186,182.15,53.84,106.85,1341.55,90.22,63.82,41.33,29.3,79.46
B187,185.5,50.47,92.33,1171.41,89.71,65.34,48.48,32.5,75.03
B188,187.98,54.41,87.87,1109.67,96.29,69.72,44.84,41.28,76.95
B189,150.56,39.76,86.98,1066.99,88.42,70.46,47.05,37.96,69.72
B190,171.33,48.41,105.44,1318.82,83.59,64.77,37.61,26.24,73.02
B191,166.66,47.4,112.44,1319.43,97.56,82.81,36.95,31.34,83.94
B192,150.48,37.43,97.56,1136.47,100.89,91.62,42.63,40.4,83.31
B193,172.53,47.15,90.14,1166.47,90.39,66.36,44.69,34.06,73.94
B194,193.44,57.43,97.49,1310.32,83.92,53.96,37.13,27.86,75.71
B195,173.82,46.9,86.17,1059.6,90.45,68.05,48.15,36.86,70.31
B196,179.72,51.39,89.38,1128.63,91.82,64.14,46.96,36.09,73.22
B197,195.67,60.99,95.83,1270.83,90.1,63.51,42.81,32.52,77.87
B198,195.6,61.81,87.96,1223.92,87.93,54.65,46.18,34.07,73.25
B199,175.28,50.9,93.22,1191.51,93.29,70.78,45.1,35.48,78.12
B200,197.09,60.81,92.33,1180.44,93.94,63.65,43.85,36.82,79.92
B201,180.15,53.54,94.85,1207.32,86.42,60.36,46.74,31.16,73.19
B202,171.29,50.31,102.45,1250.74,95.78,74.3,39.92,33.03,82.62
B203,173.02,49.45,101.37,1188.61,99.64,80.53,40.36,38.46,86.17
B204,164.33,45.35,102.38,1217.17,91.42,75.17,40.14,32.93,79.08
B205,161.8,42.74,77.3,984.79,91.42,69.21,47.43,39.47,69.11
B206,177.22,49.43,88.12,1208.24,90.81,69.63,44.19,33.58,76.65
B207,184.43,52.89,86.99,1168.17,93.63,67.82,46.48,38.64,78.05
B208,196.18,56.93,84.87,1129.92,86.23,51.47,47.06,35.19,69.51
B209,159.61,43.25,81.36,1043.72,92.13,74.4,50.43,35.84,72.27
B210,183.62,53.09,90.68,1192.1,91.44,65.47,46.06,34.84,75.32
B211,170.82,47.58,103.07,1267.52,97.77,81.57,42.38,34.86,84.75
B212,179.7,51.7,86.05,1098.68,90.83,64.53,46.57,39.68,71.34
B213,179.97,52.3,96.89,1219.11,97.25,77.09,42.1,36.39,82.69
B214,156.7,41.08,89.93,1087.36,87.63,73.27,45.62,33.33,71.05
B215,186.37,55.6,94.97,1233.89,95.04,64.75,45.36,37.8,79.36
B216,171.83,52.35,108.25,1255.93,93.68,73.47,37.45,33.82,83.68
B217,175.18,52.14,97.06,1250.07,90.5,63.22,41.95,31.42,76.44
B218,170.73,49.65,106.99,1259.88,94.66,74.03,39.75,31.05,81.52
B219,171.48,49.23,92.48,1151.13,95.32,79.37,44.11,37.99,81.03
B220,182.99,54.31,91.76,1178.39,90.93,65.19,44.76,34.54,73.66
