customer_id,age,annual_income,purchase_frequency,average_order_value,online_purchase_ratio,discount_usage_rate,days_since_last_purchase,preferred_category
D083,26,57500,3.8,112.07,80.3,44.2,5,Electronics
D084,39,97100,8.6,134.11,39.3,70.5,39,Home_Living
D085,30,54400,7.0,65.28,49.3,54.1,22,Fashion
D086,30,54400,7.6,76.79,51.9,62.7,34,Fashion
D087,29,53400,7.3,161.76,65.6,44.5,29,Electronics
D088,51,44600,3.4,135.09,22.7,37.7,29,Home_Living
D089,29,57400,5.6,90.07,82.1,43.0,33,Electronics
D090,25,55000,4.2,138.43,76.3,25.1,10,Electronics
D091,35,77400,0.7,88.14,49.0,46.9,54,Home_Living
D092,41,48200,3.0,121.42,38.3,28.5,51,Home_Living
D093,37,74500,5.7,157.5,69.2,21.1,1,Electronics
D094,41,111100,4.8,179.56,83.8,24.4,23,Electronics
D095,45,54500,3.7,182.4,51.6,27.6,34,Home_Living
D096,40,59700,8.7,78.66,79.9,53.2,13,Fashion
D097,26,54000,13.5,89.22,69.6,80.2,19,Fashion
D098,23,59200,10.8,86.81,88.6,55.7,48,Fashion
D099,38,60100,8.6,151.6,100.0,16.2,25,Electronics
D100,26,51400,12.3,73.58,90.7,74.9,6,Fashion
D101,38,64200,5.3,127.15,79.9,100.0,17,Fashion
D102,58,84300,6.1,117.68,14.9,51.2,1,Home_Living
D103,46,94500,6.1,219.09,26.3,51.6,32,Home_Living
D104,38,54600,6.8,182.51,66.1,33.5,45,Home_Living
D105,48,70400,4.1,87.26,100.0,31.1,14,Electronics
D106,31,92900,10.0,69.08,61.3,59.3,13,Fashion
D107,40,88900,4.7,96.61,42.1,77.0,13,Home_Living
D108,28,78800,8.8,159.37,69.6,44.3,54,Home_Living
D109,36,75500,6.5,124.02,63.3,36.0,22,Fashion
D110,32,59300,7.3,76.72,54.8,58.9,26,Fashion
D111,35,31200,10.2,164.57,87.0,15.8,16,Electronics
D112,36,39700,10.0,156.44,83.7,32.4,1,Electronics
D113,47,69500,5.3,121.13,33.4,21.3,28,Home_Living
D114,59,84500,5.6,138.5,59.9,45.3,26,Home_Living
D115,33,81400,7.6,76.83,61.1,66.0,3,Fashion
D116,40,92200,4.7,100.09,69.7,20.6,29,Home_Living
D117,28,79800,9.3,100.4,63.6,54.6,6,Fashion
D118,23,66200,2.1,106.56,38.9,55.6,15,Home_Living
D119,42,44000,6.4,50.54,82.5,49.1,22,Fashion
D120,43,95500,4.6,65.34,100.0,26.7,41,Electronics
D121,43,92200,7.6,122.47,88.5,24.0,9,Electronics
D122,45,69600,5.3,134.99,36.1,21.4,12,Home_Living
D123,35,63600,5.7,101.59,76.9,42.1,14,Electronics
D124,39,29000,1.3,120.19,89.2,36.8,41,Home_Living
D125,46,106300,12.3,74.93,96.1,17.7,22,Electronics
D126,24,39800,5.1,179.81,70.5,30.2,17,Electronics
D127,28,70700,7.3,87.3,57.1,72.9,13,Fashion
D128,27,73500,6.9,71.1,80.7,86.3,1,Fashion
D129,45,96100,9.1,129.78,94.9,22.8,29,Electronics
D130,29,84400,7.8,176.94,84.4,48.3,9,Electronics
D131,26,94700,7.6,115.08,80.5,100.0,1,Fashion
D132,44,53400,9.3,77.33,62.1,61.5,33,Fashion
D133,36,57300,6.0,79.73,85.3,47.9,13,Fashion
D134,52,48100,1.1,164.66,33.9,26.9,46,Home_Living
D135,54,89300,3.6,188.97,65.0,15.7,13,Home_Living
D136,25,38300,10.5,110.11,72.3,42.6,9,Fashion
D137,37,83100,7.9,179.43,69.6,22.3,4,Electronics
D138,39,78900,7.7,80.12,83.1,50.5,22,Electronics
D139,32,78500,5.9,85.53,64.4,33.1,20,Electronics
D140,36,82000,3.4,196.87,26.7,64.3,44,Home_Living
D141,27,79500,7.2,107.66,5.0,15.3,21,Home_Living
D142,26,61900,10.6,109.5,78.7,37.9,28,Electronics
D143,23,48100,12.8,83.23,82.5,54.2,26,Fashion
D144,45,54300,3.6,138.12,37.1,32.4,51,Home_Living
D145,59,90400,5.4,158.73,27.2,44.3,60,Home_Living
D146,34,89000,5.8,186.93,52.5,18.9,34,Home_Living
D147,36,44700,0.5,95.47,29.1,28.8,19,Home_Living
D148,23,50500,8.1,94.71,79.6,41.7,20,Fashion
D149,35,97400,6.0,186.82,97.0,42.0,21,Electronics
D150,27,70700,8.9,52.97,98.3,46.1,10,Fashion
D151,26,71400,4.5,157.22,79.6,5.8,9,Electronics
D152,34,62500,6.0,145.34,75.7,16.7,19,Home_Living
D153,32,62600,7.3,129.75,66.6,19.9,22,Electronics
D154,40,81700,5.8,135.02,87.1,32.9,17,Electronics
D155,31,61300,9.4,73.14,58.9,16.3,21,Fashion
D156,29,77700,5.8,81.23,84.1,62.9,27,Electronics
D157,51,50900,6.8,179.26,79.6,17.0,44,Electronics
D158,38,38300,7.3,116.78,56.8,45.0,47,Home_Living
D159,58,77900,4.0,101.03,96.2,43.2,45,Home_Living
D160,34,108300,6.3,180.46,69.9,42.2,4,Electronics
D161,57,40500,3.7,78.1,67.4,68.8,8,Home_Living
D162,42,53600,4.1,95.02,51.2,84.9,28,Home_Living
D163,27,65000,7.8,175.58,77.5,23.3,15,Electronics
D164,43,87000,7.8,133.61,59.5,38.4,47,Electronics
D165,44,75600,4.3,102.46,72.5,79.8,64,Home_Living
D166,55,74300,2.3,121.12,56.0,21.3,58,Home_Living
D167,57,87800,5.7,151.07,34.5,25.8,1,Home_Living
D168,29,35600,8.6,102.86,57.9,48.3,8,Fashion
D169,25,37400,9.1,78.59,61.4,45.2,11,Fashion
D170,27,60100,10.9,82.38,88.5,51.7,26,Fashion
D171,35,41500,5.0,100.97,54.4,36.9,25,Fashion
D172,27,61600,8.4,52.53,74.9,54.4,1,Fashion
D173,45,45000,6.5,111.55,13.8,48.7,52,Home_Living
D174,51,65900,3.7,93.38,26.4,18.5,26,Home_Living
D175,41,65500,9.7,183.96,76.0,36.6,23,Electronics
D176,25,71500,9.0,66.46,85.5,41.2,8,Fashion
D177,26,64100,7.1,54.93,95.0,97.3,24,Fashion
D178,36,82700,6.9,194.11,89.1,32.0,10,Electronics
D179,32,53400,11.0,36.69,78.5,98.9,4,Fashion
D180,26,52800,10.7,88.37,86.8,61.1,18,Fashion
