student_id,sleep_hours,exercise_minutes,screen_time_hours,study_hours,attendance_rate,caffeine_intake,social_media_hours,stress_score,anxiety_score,fatigue_score,bmi,resting_heart_rate,assignment_completion_rate,exam_score
S046,7.7,55,2.4,3.2,92,110,1.6,27,23,25,21.0,59,94,86
S047,5.0,8,7.9,1.0,61,400,6.2,82,85,81,28.5,86,48,50
S048,6.9,35,4.4,4.4,96,175,2.5,42,37,40,22.4,64,98,92
S049,7.4,50,2.9,3.1,90,125,1.8,31,27,29,21.5,61,92,84
S050,4.8,6,8.2,0.8,56,425,6.7,89,92,86,29.7,89,44,46
S051,6.3,19,5.8,3.5,86,220,3.7,57,53,55,24.1,71,87,75
S052,7.6,54,2.6,3.3,91,115,1.7,28,24,26,21.2,60,93,85
S053,5.2,10,7.4,1.2,65,365,5.7,78,82,77,27.7,83,56,52
S054,6.7,30,4.7,4.0,94,190,2.9,46,41,44,22.7,66,96,89
S055,7.8,58,2.1,2.9,93,105,1.4,25,21,23,20.8,58,95,87
S056,4.6,4,8.6,0.5,50,445,7.2,92,95,90,30.4,91,37,43
S057,6.8,34,4.5,4.2,95,180,2.6,43,39,41,22.6,65,97,90
S058,7.3,47,3.0,3.0,89,135,2.0,33,29,31,21.7,62,91,83
S059,5.6,15,6.9,1.7,72,335,5.1,72,76,73,26.8,80,62,56
S060,6.4,24,5.3,3.6,88,215,3.4,54,50,52,23.8,70,89,78
S061,7.9,60,2.0,2.7,94,95,1.3,23,19,22,20.5,56,96,88
S062,4.9,7,8.1,0.7,58,420,6.6,87,90,84,29.4,88,45,47
S063,6.9,36,4.2,4.3,96,180,2.5,41,36,39,22.3,64,98,92
S064,7.2,45,3.2,2.6,90,140,2.1,35,30,32,21.9,63,92,82
S065,5.4,12,7.0,1.5,70,350,5.4,74,78,75,27.0,82,60,55
S066,6.6,28,4.8,3.9,93,205,3.0,48,44,46,23.1,68,95,88
S067,7.7,56,2.5,3.1,92,115,1.7,29,25,27,21.1,59,94,86
S068,4.7,5,8.3,0.6,54,430,6.9,90,94,88,30.1,90,41,45
S069,6.8,32,4.4,4.1,95,185,2.7,44,38,42,22.5,65,97,91
S070,7.5,51,2.8,3.3,91,120,1.8,30,26,28,21.4,60,93,85
S071,5.1,9,7.6,1.1,64,385,5.9,80,84,79,27.9,84,53,51
S072,6.5,25,5.0,3.8,92,210,3.2,50,46,48,23.4,69,94,87
S073,7.8,57,2.2,2.9,93,105,1.5,25,22,24,20.9,58,95,87
S074,4.8,6,8.0,0.8,57,415,6.4,86,89,83,29.2,87,44,46
S075,6.7,31,4.6,4.0,94,190,2.8,47,42,45,22.8,67,96,89
S076,7.4,49,2.9,3.2,90,125,1.9,31,27,29,21.6,61,92,84
S077,5.5,14,6.8,1.8,73,325,5.0,70,74,71,26.6,79,63,57
S078,6.3,20,5.6,3.5,87,220,3.8,56,52,54,24.0,71,88,76
S079,7.6,54,2.6,3.4,92,115,1.7,28,24,26,21.2,60,94,85
S080,5.0,8,7.8,1.0,60,400,6.1,82,86,81,28.4,86,47,49
S081,6.9,35,4.3,4.4,96,175,2.5,42,37,40,22.4,64,98,92
S082,7.3,48,3.1,3.0,89,135,2.0,33,29,31,21.8,62,91,83
S083,5.6,15,6.7,1.6,71,330,5.2,71,75,72,26.7,80,62,56
S084,6.4,23,5.2,3.7,88,215,3.5,55,51,53,23.7,70,89,77
S085,7.9,59,2.1,2.8,94,100,1.4,24,20,23,20.6,57,95,88
S086,4.7,5,8.5,0.6,53,435,7.0,91,94,89,30.0,90,40,44
S087,6.8,33,4.5,4.1,95,185,2.7,44,39,42,22.6,65,97,90
S088,7.2,46,3.0,2.9,89,130,1.9,34,30,32,21.7,62,91,82
S089,5.3,11,7.2,1.4,68,345,5.5,75,79,76,27.1,81,59,54
S090,6.6,28,4.9,3.9,93,205,3.1,49,45,47,23.2,68,95,88
S091,7.7,56,2.4,3.1,92,110,1.6,27,23,25,21.0,59,94,86
S092,4.9,7,8.1,0.7,58,420,6.5,87,90,84,29.5,88,45,47
S093,6.9,36,4.2,4.3,96,180,2.4,41,36,39,22.3,64,98,92
S094,7.1,44,3.2,2.5,88,145,2.1,36,31,33,21.9,63,89,81
S095,5.4,12,7.0,1.5,70,350,5.3,74,78,75,27.0,82,60,55
S096,6.5,26,5.1,3.8,92,210,3.1,50,46,48,23.3,69,94,87
S097,7.8,57,2.3,2.9,93,105,1.5,25,22,24,20.8,58,95,87
S098,4.8,6,8.0,0.8,56,415,6.4,86,89,83,29.3,87,44,46
S099,6.7,31,4.6,4.0,94,190,2.8,47,42,45,22.7,67,96,89
S100,7.4,50,2.9,3.2,90,125,1.9,31,27,29,21.5,61,92,84
