customer_id,tenure_months,monthly_charge,support_tickets,login_frequency,days_since_last_login,satisfaction_score,auto_payment,contract_type,churn
C0077,62,101.3,2,20.7,18.1,5,0,Monthly,1
C0078,20,86.64,4,13.9,8.5,2,0,Two_Year,1
C0079,34,100.3,2,11.4,3.0,3,1,Two_Year,0
C0080,60,51.9,4,7.5,19.1,4,0,Monthly,0
C0081,7,90.07,3,20.9,5.4,4,1,Two_Year,0
C0082,59,67.47,0,9.4,23.0,3,0,Annual,0
C0083,24,82.03,1,18.1,6.5,3,1,Two_Year,1
C0084,32,67.18,1,1.0,10.6,4,0,Monthly,1
C0085,36,59.97,0,10.9,5.2,5,1,Monthly,0
C0086,30,43.67,4,14.1,22.5,2,1,Monthly,1
C0087,26,51.52,2,14.9,6.1,3,0,Monthly,1
C0088,35,45.78,4,17.5,10.9,3,0,Monthly,1
C0089,3,73.04,3,16.2,20.7,3,0,Monthly,0
C0090,68,79.79,0,20.4,19.4,3,1,Two_Year,0
C0091,36,70.67,1,8.1,8.3,4,0,Annual,1
C0092,27,62.04,3,7.9,4.6,3,1,Annual,0
C0093,35,63.07,3,16.4,19.7,3,0,Monthly,0
C0094,56,75.35,0,3.2,8.1,3,0,Annual,1
C0095,36,80.49,1,7.6,33.8,3,1,Monthly,1
C0096,17,70.8,1,7.4,6.7,3,0,Annual,1
C0097,54,86.82,1,21.0,35.2,1,1,Annual,0
C0098,47,96.17,4,22.8,3.4,4,0,Monthly,0
C0099,41,72.7,4,10.9,6.8,3,0,Annual,1
C0100,33,59.0,1,15.7,3.2,4,0,Monthly,1
C0101,39,59.71,3,30.0,12.9,4,0,Monthly,0
C0102,10,95.28,4,16.5,13.3,4,0,Two_Year,1
C0103,71,63.39,2,14.9,9.3,2,0,Monthly,1
C0104,17,62.89,1,22.0,21.9,4,0,Annual,0
C0105,24,77.55,1,3.2,18.5,4,1,Monthly,0
C0106,50,75.94,1,22.7,2.6,4,0,Monthly,0
C0107,63,38.33,3,15.1,16.4,4,1,Monthly,0
C0108,51,34.09,2,11.4,14.3,4,0,Monthly,1
C0109,29,41.61,2,1.7,25.8,3,0,Monthly,1
C0110,60,61.05,3,17.9,3.3,3,1,Two_Year,1
C0111,54,39.6,0,18.3,18.4,3,0,Monthly,0
C0112,69,62.78,0,13.3,13.2,4,1,Monthly,1
C0113,30,85.61,2,13.9,9.3,5,1,Monthly,1
C0114,13,38.55,3,16.1,9.8,3,0,Annual,1
C0115,25,52.74,1,16.7,19.1,2,1,Annual,0
C0116,47,81.1,0,5.2,15.6,2,1,Monthly,0
C0117,58,106.05,0,27.9,7.4,2,1,Monthly,1
C0118,25,111.37,2,7.8,2.3,4,1,Two_Year,1
C0119,22,78.41,0,2.3,5.1,5,1,Annual,0
C0120,13,81.96,5,8.3,16.4,3,0,Annual,1
C0121,55,50.6,0,18.6,17.6,1,0,Two_Year,0
C0122,58,52.07,2,13.5,30.1,2,0,Monthly,1
C0123,54,84.52,1,12.2,27.3,5,1,Two_Year,0
C0124,31,88.64,2,7.2,13.0,4,0,Two_Year,0
C0125,16,48.73,1,10.2,7.6,4,1,Monthly,1
C0126,56,87.03,0,20.1,10.3,3,1,Monthly,0
C0127,55,72.92,3,14.8,9.1,3,1,Two_Year,0
C0128,39,32.91,2,8.6,19.3,3,1,Monthly,0
C0129,27,69.67,1,18.2,10.0,4,0,Annual,1
C0130,5,77.67,1,12.4,5.5,3,1,Annual,0
C0131,34,88.3,0,8.4,12.8,4,1,Annual,0
C0132,31,93.91,1,20.2,39.5,4,1,Two_Year,0
C0133,35,68.62,0,14.8,9.0,2,0,Annual,1
C0134,55,75.74,2,12.3,3.8,2,1,Monthly,1
C0135,57,113.71,3,14.3,8.7,4,1,Monthly,0
C0136,30,111.27,2,11.5,24.8,3,1,Monthly,1
C0137,52,71.32,1,6.9,12.0,4,1,Monthly,0
C0138,42,90.93,0,6.1,22.7,4,1,Annual,0
C0139,55,62.7,1,12.4,6.0,2,1,Monthly,0
C0140,45,95.52,1,15.0,6.5,1,1,Two_Year,0
C0141,59,115.52,2,17.1,11.2,2,1,Two_Year,0
C0142,52,62.29,2,15.0,7.4,3,1,Two_Year,0
C0143,69,66.97,2,1.0,3.8,4,0,Annual,0
C0144,11,127.73,1,20.1,8.4,3,1,Annual,1
C0145,71,51.91,1,8.9,25.4,2,1,Monthly,0
C0146,59,83.03,2,6.5,18.3,4,1,Annual,0
C0147,30,108.84,0,12.9,15.1,4,1,Annual,0
C0148,55,94.51,4,11.9,4.6,4,0,Monthly,1
C0149,60,97.55,2,12.9,25.4,1,0,Annual,1
C0150,70,60.39,2,21.5,8.2,3,1,Annual,1
C0151,55,71.26,2,20.4,3.6,3,1,Two_Year,0
C0152,66,36.93,3,17.1,7.1,5,0,Annual,0
C0153,51,61.11,1,16.7,4.4,3,1,Two_Year,0
C0154,39,71.47,3,15.6,2.1,4,1,Two_Year,0
C0155,23,77.27,1,9.5,24.1,5,1,Monthly,1
C0156,66,92.43,0,4.4,2.5,3,1,Monthly,0
C0157,66,73.34,2,12.1,15.3,2,1,Annual,1
C0158,37,106.94,3,3.2,16.1,2,1,Annual,1
C0159,28,89.64,3,18.6,13.9,3,1,Monthly,1
C0160,26,61.41,1,13.2,12.8,3,0,Monthly,1
C0161,22,113.4,3,25.3,9.6,5,1,Monthly,1
C0162,32,73.52,0,29.5,6.5,5,0,Annual,0
C0163,16,57.34,1,19.2,15.4,3,1,Monthly,0
C0164,30,80.4,0,17.6,4.3,5,1,Monthly,0
C0165,67,88.34,3,1.0,1.6,3,1,Annual,0
C0166,48,64.43,1,10.9,7.0,5,1,Monthly,0
C0167,65,74.97,2,5.9,23.9,2,1,Annual,1
C0168,18,135.0,4,1.0,7.9,4,1,Monthly,1
C0169,41,72.74,4,19.2,24.1,4,0,Two_Year,1
C0170,26,89.73,0,12.7,2.2,3,0,Annual,0
C0171,55,67.8,0,16.6,5.0,3,1,Two_Year,0
C0172,65,104.34,0,6.0,19.1,5,1,Monthly,0
C0173,72,45.43,1,13.3,17.4,5,0,Monthly,0
C0174,21,31.55,6,1.0,25.0,2,0,Monthly,1
C0175,7,50.88,2,11.7,12.6,5,0,Two_Year,0
C0176,60,76.83,2,8.4,1.9,4,1,Annual,0
C0177,16,62.08,1,15.7,20.0,4,1,Annual,0
C0178,8,51.68,4,14.7,7.4,5,1,Annual,1
C0179,59,40.08,2,20.7,25.5,2,1,Monthly,1
C0180,30,45.09,3,11.5,6.9,4,1,Monthly,1
C0181,56,113.25,2,15.6,6.2,3,0,Two_Year,1
C0182,1,73.33,2,13.4,7.4,3,1,Annual,1
C0183,50,123.3,3,20.7,16.8,3,1,Monthly,1
C0184,12,32.31,1,7.5,8.2,2,1,Monthly,1
C0185,58,83.93,2,4.9,5.2,4,1,Two_Year,0
C0186,22,95.2,1,15.8,6.3,3,1,Two_Year,1
C0187,67,72.63,2,9.4,11.5,4,1,Monthly,0
C0188,67,90.04,2,22.8,20.0,3,1,Monthly,0
C0189,44,59.43,1,20.3,10.6,3,1,Monthly,0
C0190,32,75.23,1,5.7,20.8,3,1,Monthly,0
C0191,70,76.54,2,9.1,20.0,2,1,Monthly,0
C0192,43,74.52,2,26.7,8.7,4,0,Annual,0
C0193,41,63.91,3,10.4,12.0,5,1,Monthly,0
C0194,26,101.65,1,20.8,14.1,3,0,Two_Year,1
C0195,40,78.22,3,21.8,9.5,4,0,Monthly,1
C0196,47,80.56,1,3.4,7.0,3,0,Monthly,1
C0197,11,88.93,3,13.2,3.3,3,1,Annual,1
C0198,29,109.34,2,17.0,2.5,3,0,Annual,0
C0199,4,95.14,1,18.0,11.3,4,1,Two_Year,0
C0200,4,70.68,2,24.3,23.4,4,0,Monthly,1
C0201,36,77.8,2,21.8,6.5,5,0,Monthly,1
C0202,11,55.54,2,13.0,5.6,4,1,Annual,1
C0203,41,61.84,1,10.4,5.7,3,1,Annual,0
C0204,66,58.91,2,13.2,14.0,4,1,Monthly,0
C0205,53,55.63,1,11.2,3.3,3,1,Monthly,0
C0206,6,20.0,3,16.7,0.6,5,0,Monthly,0
C0207,31,62.71,1,7.5,23.2,3,1,Monthly,1
C0208,30,90.32,2,13.8,3.6,2,0,Annual,1
C0209,16,52.14,1,13.3,14.3,3,1,Monthly,1
C0210,38,38.76,1,15.0,7.9,3,0,Monthly,0
C0211,50,97.07,2,13.7,9.7,3,0,Monthly,1
C0212,62,50.66,1,18.7,4.8,5,1,Two_Year,0
C0213,45,34.43,0,21.6,10.3,3,1,Annual,0
C0214,16,91.64,2,11.0,5.6,4,1,Two_Year,0
C0215,69,77.62,0,13.9,22.8,4,1,Monthly,0
C0216,48,86.45,2,10.2,2.4,3,0,Monthly,1
C0217,47,64.05,2,14.1,10.1,3,1,Two_Year,0
C0218,33,65.39,1,15.0,0.9,4,1,Annual,1
C0219,48,100.38,0,12.3,22.5,5,1,Monthly,0
C0220,71,112.32,5,12.0,1.8,4,0,Monthly,0
C0221,7,48.39,1,14.7,4.6,4,1,Two_Year,0
C0222,59,102.24,0,11.3,6.2,3,1,Annual,0
C0223,42,86.69,1,15.4,2.4,3,0,Annual,0
C0224,71,54.14,2,14.8,11.5,4,0,Monthly,1
C0225,21,87.12,2,12.0,3.1,2,1,Monthly,0
C0226,30,83.42,2,1.0,12.7,4,1,Monthly,1
C0227,25,106.14,2,19.2,18.2,4,0,Annual,1
C0228,37,114.6,2,11.4,20.5,3,1,Annual,0
C0229,55,44.59,1,21.3,7.8,2,0,Two_Year,0
C0230,48,64.24,1,21.6,17.8,3,0,Two_Year,1
C0231,43,44.17,3,5.9,7.5,4,1,Monthly,0
C0232,15,70.77,0,14.7,8.3,4,0,Annual,1
C0233,18,74.34,1,27.3,13.0,4,1,Monthly,1
C0234,25,62.37,0,13.6,9.3,2,1,Monthly,1
C0235,29,44.77,4,12.8,16.3,4,1,Annual,0
C0236,22,44.07,1,4.5,1.2,3,1,Annual,1
C0237,13,39.63,0,17.2,7.5,4,1,Monthly,0
C0238,18,71.48,2,12.1,6.5,3,1,Annual,1
C0239,19,92.64,3,14.6,4.0,3,0,Monthly,1
C0240,65,98.07,2,11.8,7.8,4,0,Annual,0
C0241,14,87.5,1,15.3,5.6,2,1,Annual,1
C0242,52,83.2,2,14.2,0.8,4,0,Annual,0
C0243,72,69.38,1,13.5,33.6,4,1,Monthly,0
C0244,19,61.97,3,26.9,8.7,3,1,Monthly,0
C0245,44,57.71,2,11.0,32.4,2,0,Annual,1
C0246,14,95.74,1,17.1,20.1,3,0,Monthly,1
C0247,55,79.93,0,23.0,20.2,3,1,Monthly,1
C0248,68,100.04,1,17.6,13.0,4,0,Two_Year,0
C0249,55,92.19,1,11.3,7.5,3,0,Monthly,0
C0250,40,31.53,1,16.3,9.0,5,1,Monthly,0
C0251,9,77.24,2,11.3,15.8,3,0,Monthly,1
C0252,49,38.87,1,21.8,6.3,5,1,Monthly,0
C0253,17,58.22,4,9.4,9.5,3,1,Monthly,1
C0254,71,49.25,3,17.0,14.9,4,0,Annual,0
C0255,41,69.23,3,18.0,7.3,3,0,Annual,1
C0256,21,53.77,3,12.6,3.3,5,1,Monthly,0
C0257,51,36.64,1,1.2,6.4,3,1,Monthly,0
C0258,68,27.42,2,13.9,7.2,3,0,Monthly,0
C0259,47,38.38,1,6.5,14.6,2,1,Monthly,1
C0260,24,58.68,3,11.8,14.2,2,1,Annual,1
C0261,67,67.77,1,9.8,4.0,3,1,Monthly,0
C0262,51,120.24,3,21.2,20.4,4,1,Two_Year,0
C0263,72,103.62,3,18.6,11.4,3,1,Monthly,0
C0264,26,60.57,3,14.8,14.5,3,0,Monthly,1
C0265,33,39.37,1,1.0,13.2,3,0,Monthly,1
C0266,13,88.76,3,1.0,6.5,3,1,Annual,0
C0267,31,75.49,0,12.1,4.9,3,0,Annual,0
C0268,46,55.2,4,9.4,17.8,5,1,Annual,0
C0269,21,63.87,1,13.5,17.4,4,0,Annual,0
C0270,1,33.02,4,11.8,44.1,4,0,Monthly,1
C0271,40,83.28,2,12.3,6.4,3,0,Annual,1
C0272,14,60.07,1,12.6,3.7,3,0,Annual,0
C0273,3,70.28,0,6.9,7.8,2,0,Monthly,1
C0274,7,50.59,1,20.4,22.8,4,0,Monthly,1
C0275,24,102.61,2,14.1,1.7,3,0,Annual,0
C0276,36,102.13,4,12.0,1.1,3,1,Monthly,1
C0277,63,50.48,1,14.7,22.8,4,1,Monthly,0
C0278,46,57.64,3,16.6,1.7,4,0,Annual,0
C0279,33,101.44,0,4.7,7.6,3,1,Annual,0
C0280,54,74.29,0,18.6,6.4,2,0,Monthly,0
C0281,52,79.84,0,14.4,4.1,5,0,Monthly,0
C0282,7,96.2,1,16.1,11.9,4,1,Two_Year,0
C0283,68,63.94,4,18.9,15.3,2,1,Annual,0
C0284,37,26.68,2,10.9,10.1,4,1,Monthly,0
C0285,64,111.58,1,5.5,10.0,4,0,Monthly,0
C0286,71,71.18,2,13.1,3.2,3,1,Monthly,0
C0287,62,107.15,2,20.4,12.2,3,0,Monthly,1
C0288,7,54.69,0,20.8,4.9,4,1,Monthly,0
C0289,6,99.71,2,6.1,19.6,3,1,Monthly,1
C0290,48,76.33,3,10.3,9.6,3,1,Annual,1
C0291,11,118.8,3,8.4,19.9,3,0,Two_Year,1
C0292,17,31.94,0,16.3,12.6,5,1,Annual,0
C0293,51,58.22,0,8.3,17.9,2,0,Monthly,1
C0294,35,59.51,2,10.8,7.9,2,1,Monthly,1
C0295,4,98.35,1,15.5,14.4,4,0,Monthly,1
C0296,11,35.47,1,20.9,2.8,1,1,Annual,1
C0297,11,91.73,2,9.1,18.8,3,1,Monthly,1
C0298,33,56.53,1,13.9,6.1,5,0,Two_Year,0
C0299,71,69.99,2,9.1,3.5,2,0,Monthly,0
C0300,5,102.3,4,14.2,20.4,3,1,Two_Year,1
