student_id,study_hours_week,attendance_rate,assignment_completion_rate,practice_sessions_week,math_score,science_score,writing_score,exam_score
S105,7.3,72.6,79.4,2.7,59.7,61.1,63.7,58.6
S106,12.0,92.4,79.3,5.3,71.3,78.9,62.1,76.5
S107,9.2,74.5,70.3,4.1,62.7,69.4,61.5,74.7
S108,7.2,69.6,66.0,1.0,49.9,66.6,61.8,64.0
S109,12.8,73.0,74.5,2.4,73.5,65.2,68.6,60.2
S110,9.0,79.0,76.8,3.0,63.0,62.2,73.4,75.3
S111,6.7,59.5,56.9,4.8,57.8,60.1,59.7,54.0
S112,4.7,80.0,75.3,4.6,66.3,56.1,58.4,72.6
S113,8.5,78.1,78.6,3.6,58.2,66.4,64.3,60.4
S114,7.1,76.1,66.2,3.6,65.5,62.3,55.8,62.3
S115,10.3,71.5,80.5,8.6,80.2,69.0,72.1,66.5
S116,13.9,90.8,87.5,6.1,74.8,70.9,84.7,73.6
S117,7.6,67.2,71.7,2.8,53.1,54.1,62.0,56.3
S118,9.4,72.3,75.0,5.2,59.4,55.4,61.4,68.7
S119,10.7,88.9,87.2,2.8,79.2,79.2,76.0,80.3
S120,17.7,92.7,89.5,7.4,82.0,71.4,90.2,66.3
S121,15.1,79.6,81.4,5.2,72.3,70.2,69.4,79.7
S122,6.3,77.2,64.5,3.3,51.7,73.3,65.8,68.1
S123,17.0,83.9,83.3,4.4,66.5,77.1,69.8,81.9
S124,15.2,90.1,88.8,6.5,65.7,79.5,83.8,85.2
S125,13.5,86.5,96.5,6.3,73.0,57.7,83.6,63.7
S126,13.4,90.0,96.6,5.8,77.3,77.7,67.4,75.8
S127,11.2,83.1,86.6,4.6,62.9,59.4,79.4,66.1
S128,7.8,80.8,72.9,5.0,63.2,62.2,75.4,68.0
S129,8.3,67.8,70.6,3.3,65.8,59.6,78.5,56.5
S130,12.8,82.3,86.9,3.7,65.8,81.6,86.1,66.2
S131,10.3,84.8,82.7,8.1,56.9,77.2,69.6,72.4
S132,17.3,96.3,75.8,6.0,79.0,79.7,93.1,81.1
S133,17.0,99.8,100.0,6.0,77.8,81.8,79.5,88.6
S134,2.0,72.3,69.3,1.4,63.9,50.1,63.3,52.2
S135,13.3,77.6,70.9,5.7,72.9,69.3,66.9,63.4
S136,12.0,84.7,72.0,4.4,61.6,64.0,70.5,64.0
S137,12.5,77.6,78.7,4.4,70.8,66.6,78.2,58.1
S138,10.7,81.8,77.0,3.1,66.2,61.2,55.0,68.2
S139,8.9,77.7,76.8,2.1,55.2,66.3,51.3,67.3
S140,8.5,82.8,69.6,4.7,57.7,51.8,75.1,59.9
S141,17.9,85.2,81.1,7.5,77.3,73.9,59.5,82.7
S142,10.2,71.6,67.9,4.0,64.1,77.9,63.5,65.5
S143,12.3,80.8,75.7,5.4,74.9,69.9,77.7,63.8
S144,18.9,94.5,96.0,6.8,83.3,70.9,86.9,76.9
S145,17.8,89.7,92.9,5.4,76.9,78.4,67.4,82.5
S146,17.8,93.9,91.1,8.9,93.6,86.9,79.5,85.0
S147,19.4,89.9,76.1,8.1,100.0,80.7,78.8,91.5
S148,11.8,93.5,73.4,5.5,68.3,77.9,67.8,76.2
S149,13.8,71.0,78.7,4.8,68.3,62.5,64.9,64.1
S150,7.9,65.0,64.5,1.9,65.6,59.7,37.0,59.6
S151,19.4,95.7,92.3,6.1,82.0,89.7,83.3,78.6
S152,15.2,79.7,88.1,4.4,71.5,77.0,70.0,82.0
S153,11.8,84.9,79.4,4.7,58.9,77.0,79.1,71.4
S154,15.2,93.0,97.0,7.1,84.3,78.9,87.3,71.9
S155,6.6,80.1,75.1,3.9,61.6,67.6,59.7,55.1
S156,14.3,92.8,98.9,6.9,65.3,74.9,81.4,73.5
S157,11.8,73.7,65.5,1.1,58.8,68.1,62.6,61.2
S158,10.3,83.7,80.3,6.6,65.7,75.4,67.9,80.5
S159,8.4,75.7,71.0,3.2,66.1,60.6,56.8,59.0
S160,12.0,81.8,85.5,2.7,59.6,59.6,66.7,65.5
S161,8.3,72.8,80.9,3.7,69.7,65.9,66.9,65.9
S162,10.4,79.3,77.4,3.7,61.4,53.3,66.6,58.7
S163,9.0,73.8,73.6,4.5,66.2,73.9,57.8,65.2
S164,9.5,76.5,73.5,6.0,53.3,63.7,62.5,70.3
S165,9.2,74.3,71.2,3.9,47.6,63.1,68.4,64.7
S166,15.3,89.0,85.7,7.7,91.1,88.1,76.7,83.2
S167,20.8,97.7,100.0,8.2,87.5,87.6,85.4,88.3
S168,14.6,87.1,93.2,5.4,67.9,68.8,81.2,70.4
S169,8.6,71.0,72.5,2.6,53.1,62.4,71.7,59.5
S170,8.8,78.0,68.6,3.0,63.5,77.2,73.2,67.8
S171,11.0,76.9,79.8,3.9,61.5,62.5,73.3,60.7
S172,13.6,91.0,77.7,4.6,79.6,68.0,71.3,80.0
S173,10.4,70.8,76.7,4.0,52.5,64.4,68.4,63.3
S174,12.4,71.0,81.0,5.3,73.0,58.5,63.0,70.4
S175,8.0,75.4,82.5,5.8,72.1,59.3,58.9,52.7
S176,13.2,79.9,77.5,8.1,72.3,64.8,72.9,67.7
S177,16.0,76.8,70.8,6.1,65.3,72.3,72.7,71.4
S178,9.0,79.9,75.1,4.1,55.5,68.3,77.0,62.8
S179,2.0,70.6,61.8,1.0,53.6,47.5,47.4,51.2
S180,11.3,91.4,89.9,4.8,76.2,77.6,76.2,66.5
S181,20.5,93.5,81.7,6.2,69.9,97.6,89.6,85.4
S182,10.2,79.2,73.5,1.7,58.7,75.4,73.5,62.9
S183,12.6,79.8,81.9,6.0,68.5,62.0,64.5,73.1
S184,10.9,84.3,91.2,3.9,64.2,68.7,81.6,63.4
S185,10.5,86.5,79.4,6.3,77.9,55.0,80.5,72.1
S186,13.2,82.5,91.5,4.4,67.7,63.0,70.2,77.0
S187,9.3,86.5,74.6,4.3,68.5,74.2,77.5,61.4
S188,7.0,68.4,72.6,1.0,54.0,60.5,62.0,59.7
S189,10.9,85.6,79.1,5.2,72.0,69.4,63.4,72.5
S190,12.8,77.5,88.3,4.1,68.7,67.5,77.7,69.4
S191,13.5,82.0,83.2,5.6,63.4,80.0,66.4,61.8
S192,17.4,97.5,84.4,8.1,83.5,88.1,81.3,85.7
S193,12.9,72.9,68.5,5.0,67.4,60.2,63.9,62.0
S194,12.2,89.6,89.1,4.6,65.9,82.5,65.9,71.6
S195,12.4,88.2,90.7,6.1,76.2,69.8,81.8,69.7
S196,13.8,93.1,94.9,6.7,83.7,87.7,97.1,89.0
S197,7.0,71.6,74.5,4.6,59.2,58.0,65.5,58.0
S198,11.2,83.6,76.8,3.0,59.1,69.1,65.0,71.1
S199,12.2,83.3,78.1,4.0,60.3,78.2,65.9,72.8
S200,14.2,89.8,94.5,5.6,66.2,77.4,70.1,75.6
S201,9.3,76.1,67.4,2.4,71.7,59.5,58.8,58.2
S202,16.6,97.1,90.5,8.2,82.7,75.5,74.5,84.4
S203,7.6,79.1,71.2,5.3,62.0,59.8,57.6,61.8
S204,19.2,93.9,75.2,5.6,80.5,73.4,74.2,80.4
S205,9.1,80.6,84.9,3.7,66.0,65.3,71.4,61.4
S206,16.2,84.0,81.1,8.3,76.3,68.1,67.5,64.5
S207,13.5,82.3,81.2,5.1,70.8,74.9,72.5,69.2
S208,22.5,91.0,99.1,10.0,88.4,78.1,84.1,90.3
S209,6.0,77.9,74.4,4.3,59.1,65.8,66.2,57.6
S210,8.2,84.6,72.2,2.8,67.0,62.9,75.5,65.1
S211,12.4,79.6,76.2,5.4,70.4,72.5,78.8,68.4
S212,11.7,78.3,78.0,4.6,62.4,73.0,42.6,62.3
S213,10.2,75.2,77.1,5.1,52.8,73.1,62.2,64.9
S214,7.2,74.7,76.9,6.9,70.0,77.0,62.2,76.1
S215,16.3,90.7,90.2,9.4,90.9,90.6,81.8,87.2
S216,7.4,76.2,75.4,3.0,55.0,53.3,66.3,63.6
S217,12.5,75.5,73.4,3.6,78.0,64.8,65.3,60.6
S218,12.4,83.8,78.9,5.4,70.3,57.4,61.4,69.2
S219,11.0,90.6,86.7,5.2,78.3,75.4,84.3,64.9
S220,6.7,63.6,69.0,2.2,40.7,41.5,64.8,54.5
S221,7.7,80.3,75.7,2.5,69.1,66.9,74.6,58.3
S222,17.3,91.8,94.2,6.8,76.8,70.9,83.0,77.2
S223,12.8,75.5,81.1,5.3,65.9,71.0,70.2,71.7
S224,15.8,93.0,87.4,7.5,82.6,77.1,78.8,82.5
S225,9.5,75.1,78.4,2.9,66.4,56.9,60.2,53.6
S226,13.6,95.3,76.1,7.7,82.3,73.3,80.9,73.1
S227,13.1,78.9,72.9,5.5,62.0,56.9,66.6,69.9
S228,9.1,80.8,84.3,4.9,69.5,65.5,77.3,73.8
S229,10.8,69.5,77.4,4.0,64.8,55.5,69.9,57.4
S230,10.7,82.1,83.6,4.1,58.5,67.8,70.1,70.4
S231,4.3,82.3,72.6,3.0,63.0,61.3,57.8,64.1
S232,10.4,85.3,78.7,4.2,68.1,58.1,79.5,64.0
S233,11.5,84.4,68.6,3.2,71.3,71.2,64.8,61.1
S234,10.5,69.8,77.6,3.9,59.5,57.2,69.4,68.1
S235,14.6,82.8,85.8,5.5,69.0,68.0,79.2,71.1
S236,18.2,87.9,83.8,4.6,76.5,63.2,75.6,70.7
S237,12.5,86.5,86.3,5.3,58.2,65.8,87.9,65.5
S238,10.4,77.4,68.4,3.3,55.3,59.7,61.2,65.1
S239,7.0,74.7,85.2,4.4,60.0,64.0,77.1,61.1
S240,12.8,92.1,85.5,3.3,73.6,69.0,81.7,67.6
